dose,time,crosses
0,30,449
0,30,591
0,30,356
0,30,171
0,30,387
0,30,750
0,30,838
0,30,1159
0,30,1186
0,30,350
0,30,1580
0,30,1402
0,30,667
0,60,0
0,60,5
0,60,43
0,60,877
0,60,1
0,60,392
0,60,439
0,60,598
0,60,0
0,60,177
0,60,0
0,60,0
0,60,0
0,120,8
0,120,18
0,120,33
0,120,158
0,120,0
0,120,517
0,120,114
0,120,0
0,120,0
0,120,0
0,120,0
0,120,135
0,120,0
0,180,1
0,180,36
0,180,37
0,180,0
0,180,8
0,180,249
0,180,0
0,180,0
0,180,0
0,180,13
0,180,22
0,180,0
0,180,56
0,after180,10
0,after180,0
0,after180,9
0,after180,0
0,after180,101
0,after180,78
0,after180,0
0,after180,0
0,after180,0
0,after180,42
0,after180,36
0,after180,29
0,after180,0
0.00001,30,4
0.00001,30,406
0.00001,30,578
0.00001,30,94
0.00001,30,348
0.00001,30,896
0.00001,30,901
0.00001,30,958
0.00001,30,766
0.00001,30,351
0.00001,30,1185
0.00001,30,1407
0.00001,30,958
0.00001,60,117
0.00001,60,0
0.00001,60,80
0.00001,60,64
0.00001,60,0
0.00001,60,958
0.00001,60,817
0.00001,60,1366
0.00001,60,0
0.00001,60,0
0.00001,60,0
0.00001,60,1348
0.00001,60,0
0.00001,120,0
0.00001,120,16
0.00001,120,0
0.00001,120,25
0.00001,120,0
0.00001,120,102
0.00001,120,0
0.00001,120,0
0.00001,120,465
0.00001,120,0
0.00001,120,3
0.00001,120,1009
0.00001,120,0
0.00001,180,0
0.00001,180,38
0.00001,180,40
0.00001,180,31
0.00001,180,37
0.00001,180,1
0.00001,180,0
0.00001,180,154
0.00001,180,0
0.00001,180,0
0.00001,180,118
0.00001,180,1076
0.00001,180,97
0.00001,after180,50
0.00001,after180,0
0.00001,after180,0
0.00001,after180,62
0.00001,after180,52
0.00001,after180,0
0.00001,after180,0
0.00001,after180,0
0.00001,after180,0
0.00001,after180,8
0.00001,after180,0
0.00001,after180,599
0.00001,after180,0
0.0001,30,0
0.0001,30,173
0.0001,30,660
0.0001,30,192
0.0001,30,503
0.0001,30,844
0.0001,30,436
0.0001,30,490
0.0001,30,440
0.0001,30,160
0.0001,30,1731
0.0001,30,1177
0.0001,30,765
0.0001,60,0
0.0001,60,0
0.0001,60,282
0.0001,60,176
0.0001,60,443
0.0001,60,102
0.0001,60,0
0.0001,60,0
0.0001,60,0
0.0001,60,233
0.0001,60,495
0.0001,60,242
0.0001,60,283
0.0001,120,24
0.0001,120,0
0.0001,120,0
0.0001,120,173
0.0001,120,161
0.0001,120,0
0.0001,120,126
0.0001,120,0
0.0001,120,232
0.0001,120,0
0.0001,120,0
0.0001,120,0
0.0001,120,0
0.0001,180,165
0.0001,180,0
0.0001,180,0
0.0001,180,35
0.0001,180,0
0.0001,180,0
0.0001,180,24
0.0001,180,0
0.0001,180,0
0.0001,180,0
0.0001,180,0
0.0001,180,167
0.0001,180,0
0.0001,after180,75
0.0001,after180,120
0.0001,after180,0
0.0001,after180,35
0.0001,after180,0
0.0001,after180,68
0.0001,after180,0
0.0001,after180,0
0.0001,after180,0
0.0001,after180,0
0.0001,after180,139
0.0001,after180,0
0.0001,after180,0
0.001,30,141
0.001,30,576
0.001,30,460
0.001,30,248
0.001,30,1229
0.001,30,454
0.001,30,242
0.001,30,832
0.001,30,976
0.001,30,810
0.001,30,547
0.001,30,1121
0.001,60,0
0.001,60,0
0.001,60,289
0.001,60,221
0.001,60,1100
0.001,60,98
0.001,60,2
0.001,60,44
0.001,60,1025
0.001,60,0
0.001,60,419
0.001,60,0
0.001,120,0
0.001,120,0
0.001,120,34
0.001,120,0
0.001,120,632
0.001,120,71
0.001,120,27
0.001,120,0
0.001,120,0
0.001,120,1
0.001,120,0
0.001,120,0
0.001,180,66
0.001,180,54
0.001,180,29
0.001,180,0
0.001,180,66
0.001,180,2
0.001,180,23
0.001,180,0
0.001,180,0
0.001,180,41
0.001,180,0
0.001,180,0
0.001,after180,0
0.001,after180,0
0.001,after180,90
0.001,after180,0
0.001,after180,0
0.001,after180,146
0.001,after180,10
0.001,after180,0
0.001,after180,0
0.001,after180,40
0.001,after180,1
0.001,after180,0
0.01,30,120
0.01,30,235
0.01,30,797
0.01,30,712
0.01,30,364
0.01,30,425
0.01,30,1124
0.01,30,790
0.01,30,610
0.01,30,690
0.01,30,1170
0.01,30,634
0.01,30,1214
0.01,60,0
0.01,60,0
0.01,60,78
0.01,60,279
0.01,60,0
0.01,60,0
0.01,60,2004
0.01,60,0
0.01,60,0
0.01,60,922
0.01,60,53
0.01,60,61
0.01,60,0
0.01,120,34
0.01,120,0
0.01,120,0
0.01,120,63
0.01,120,0
0.01,120,0
0.01,120,0
0.01,120,0
0.01,120,0
0.01,120,0
0.01,120,0
0.01,120,155
0.01,120,0
0.01,180,0
0.01,180,39
0.01,180,77
0.01,180,0
0.01,180,0
0.01,180,84
0.01,180,0
0.01,180,229
0.01,180,7
0.01,180,22
0.01,180,48
0.01,180,147
0.01,180,103
0.01,after180,41
0.01,after180,2
0.01,after180,0
0.01,after180,0
0.01,after180,1
0.01,after180,0
0.01,after180,0
0.01,after180,61
0.01,after180,242
0.01,after180,0
0.01,after180,18
0.01,after180,77
0.01,after180,0
